,Winner
556,Blue
1196,Blue
421,Red
1333,Red
1975,Red
571,Red
509,Blue
4609,Red
5103,Red
6526,Red
4538,Red
3385,Blue
3506,Red
2163,Red
466,Red
3489,Blue
3737,Red
3029,Blue
1574,Blue
5783,Red
1867,Red
4269,Red
311,Red
1937,Red
2115,Blue
4115,Blue
1205,Red
4027,Red
6588,Red
1842,Blue
5346,Blue
6193,Red
5348,Red
5067,Red
6291,Red
5469,Red
3315,Blue
644,Blue
852,Blue
1175,Red
288,Red
3156,Blue
6505,Red
4928,Blue
5022,Red
1362,Red
5995,Red
5200,Red
5306,Red
2892,Red
4850,Red
5435,Red
4804,Red
5555,Red
5436,Red
6476,Red
2177,Red
2241,Blue
6320,Red
5530,Red
4764,Red
3383,Red
879,Blue
3525,Red
1818,Red
3770,Red
711,Blue
3732,Red
3756,Red
4121,Red
2249,Red
1730,Blue
5591,Red
3366,Red
1776,Red
1797,Red
1079,Red
2547,Red
1772,Blue
6495,Red
2271,Blue
5693,Red
400,Red
2912,Red
3534,Blue
1659,Blue
3432,Blue
6587,Red
4404,Red
3429,Blue
514,Red
1154,Red
5070,Red
1396,Blue
5417,Blue
6357,Red
5599,Red
4409,Red
5094,Red
589,Blue
5879,Red
2769,Red
1652,Red
6653,Red
4416,Red
1754,Blue
779,Blue
834,Red
3067,Red
946,Red
5452,Red
508,Red
2707,Blue
1918,Red
1083,Red
4674,Blue
569,Red
583,Red
3321,Red
5203,Red
3982,Red
4917,Red
3070,Red
4749,Red
4735,Red
4633,Blue
5122,Red
2692,Red
3463,Blue
1338,Red
1717,Blue
1167,Red
5544,Red
6431,Red
1930,Red
5561,Red
4319,Blue
2496,Blue
1985,Red
3999,Blue
2125,Red
2862,Red
5844,Red
6121,Red
445,Blue
3333,Red
2935,Red
5125,Red
1353,Red
3404,Red
2171,Blue
6270,Red
4403,Red
3391,Red
3694,Red
1943,Red
2282,Blue
4934,Blue
4057,Red
2738,Blue
2197,Blue
2675,Red
1634,Red
5124,Blue
4938,Blue
5474,Red
3130,Blue
458,Red
3760,Red
5666,Red
1107,Red
2904,Red
2583,Blue
164,Blue
595,Red
3766,Red
5716,Red
6325,Red
4728,Red
4660,Red
2318,Blue
4784,Blue
137,Red
4688,Red
301,Blue
5385,Blue
4013,Blue
2480,Blue
2798,Blue
5990,Red
4635,Blue
3396,Red
4677,Blue
2469,Red
5337,Red
5275,Red
1477,Red
5672,Red
2214,Blue
2003,Red
2827,Blue
892,Red
2526,Red
1600,Blue
4745,Blue
3612,Blue
5307,Blue
4808,Blue
2617,Blue
2668,Red
2725,Red
1554,Blue
1625,Blue
5913,Red
2356,Red
6271,Red
4155,Red
4177,Red
2576,Red
1442,Blue
999,Red
6490,Red
4340,Blue
100,Blue
3908,Blue
2394,Red
2191,Blue
5208,Red
79,Blue
762,Blue
3302,Red
1870,Red
1986,Red
5782,Red
368,Blue
1208,Red
4759,Blue
184,Red
1676,Blue
133,Red
468,Red
2018,Blue
944,Blue
6398,Red
4666,Red
831,Red
84,Blue
4678,Red
5410,Red
5272,Red
5185,Red
22,Red
4464,Red
1025,Blue
1636,Blue
5043,Red
5969,Red
2786,Blue
5694,Red
3068,Blue
1164,Blue
4958,Red
6651,Red
954,Red
3408,Blue
6433,Red
4535,Red
4599,Red
1725,Red
3209,Red
1847,Blue
244,Red
2351,Red
3936,Blue
2990,Blue
5999,Red
761,Blue
3351,Blue
3329,Red
5445,Red
2075,Blue
925,Red
4132,Red
4044,Blue
790,Red
134,Red
11,Red
5651,Red
2579,Red
2441,Red
171,Blue
2484,Blue
257,Blue
5757,Red
5893,Red
903,Red
883,Blue
2865,Red
4011,Blue
2458,Blue
5809,Red
5475,Red
4182,Red
2640,Red
5636,Red
524,Blue
4265,Blue
3022,Red
4266,Red
884,Blue
352,Red
1886,Red
1127,Red
1881,Red
5035,Blue
1087,Red
1691,Red
4105,Blue
2114,Blue
4830,Blue
5558,Red
3594,Red
5366,Blue
504,Red
1173,Blue
2879,Red
4172,Red
5939,Red
1632,Red
289,Blue
1095,Blue
6066,Red
6577,Red
1682,Red
602,Blue
2379,Blue
3548,Blue
5159,Blue
4020,Blue
6561,Red
4491,Blue
2365,Blue
1267,Red
5359,Blue
6448,Red
612,Blue
1953,Red
2981,Blue
2482,Red
3330,Red
3995,Blue
4859,Blue
1391,Red
4898,Red
1694,Red
1298,Blue
5842,Red
4910,Red
3537,Blue
4843,Red
4602,Red
6534,Red
720,Red
4048,Red
3750,Blue
2491,Blue
4540,Red
1409,Blue
437,Blue
112,Red
5663,Red
1538,Blue
5250,Blue
6539,Red
4636,Red
2685,Red
4192,Red
3088,Blue
6528,Red
1310,Red
2375,Blue
3968,Blue
4081,Red
2511,Blue
6671,Red
2788,Blue
6668,Red
4645,Red
2605,Red
5738,Red
2117,Blue
5169,Blue
540,Blue
4506,Red
679,Blue
6595,Red
1119,Blue
6371,Red
2227,Red
278,Red
5720,Red
255,Red
3581,Blue
846,Blue
2459,Red
5443,Red
2134,Red
2238,Red
1336,Blue
2037,Red
3829,Blue
1798,Blue
2649,Red
6185,Red
2929,Red
619,Red
5578,Red
3557,Red
3085,Red
1356,Red
4413,Red
4001,Blue
729,Red
1138,Red
3353,Red
2104,Blue
1874,Red
3966,Red
3005,Red
3991,Red
2248,Red
1649,Red
3730,Blue
3335,Red
4279,Red
2955,Red
539,Red
4541,Red
6166,Red
2153,Red
5568,Red
4030,Blue
5905,Red
280,Red
5566,Red
1426,Red
5589,Red
4228,Red
984,Red
5356,Blue
2575,Red
2391,Red
4141,Red
4162,Red
4526,Blue
5247,Blue
4271,Blue
1938,Red
3821,Red
3784,Blue
5426,Blue
2005,Red
3087,Red
4104,Red
4066,Red
5807,Red
3106,Blue
5389,Blue
6473,Red
4566,Red
534,Red
5968,Red
3150,Blue
1807,Blue
6044,Red
3312,Blue
5320,Red
1899,Blue
5539,Red
4907,Red
947,Blue
2313,Blue
750,Red
3869,Blue
66,Red
1181,Blue
686,Red
3021,Red
426,Red
6485,Red
2592,Red
6425,Red
4224,Blue
2409,Red
58,Blue
6263,Red
4618,Red
674,Red
1778,Blue
895,Red
6278,Red
351,Red
5505,Red
338,Blue
5884,Red
225,Red
1060,Red
4795,Blue
1354,Blue
1731,Blue
6161,Red
3780,Red
777,Red
2507,Red
4481,Red
4847,Blue
1689,Red
4091,Blue
6094,Red
129,Red
6598,Red
1239,Blue
2290,Blue
1974,Red
2465,Red
5972,Red
3747,Blue
6657,Red
3134,Red
6373,Red
2600,Red
776,Red
1561,Red
2910,Blue
1220,Red
3392,Red
308,Red
3626,Red
2785,Blue
3203,Blue
4828,Red
3261,Blue
3636,Blue
3564,Blue
2720,Red
2129,Blue
537,Red
1163,Red
4707,Red
332,Blue
5207,Red
6195,Red
3502,Red
6156,Red
1796,Blue
4788,Red
3533,Red
1603,Blue
1014,Blue
1624,Red
2687,Red
4820,Red
5997,Red
3223,Blue
2897,Red
1910,Blue
2572,Red
5823,Red
4884,Red
4193,Red
650,Blue
5487,Red
1007,Blue
3208,Red
4531,Blue
2201,Blue
4352,Red
2057,Red
3567,Blue
3598,Red
4695,Blue
5319,Blue
1722,Red
2443,Blue
5798,Red
6042,Red
6162,Red
5953,Red
945,Blue
5121,Blue
3239,Red
4205,Red
1673,Red
5244,Blue
1860,Red
5791,Red
6710,Red
4097,Red
1292,Blue
6523,Red
2145,Red
3342,Blue
4672,Red
3958,Red
4038,Blue
6249,Red
3317,Blue
1212,Red
2632,Blue
4741,Red
4129,Blue
5156,Blue
2237,Red
2301,Blue
4837,Blue
5379,Red
1946,Red
5849,Red
4321,Red
6716,Red
3959,Red
2388,Red
5278,Blue
5768,Red
692,Blue
1357,Blue
4712,Red
4662,Blue
4067,Red
1969,Red
4732,Red
1351,Red
5754,Red
5840,Red
2474,Red
4062,Red
1102,Blue
759,Blue
482,Red
2331,Red
5640,Red
2174,Red
2361,Red
528,Blue
5584,Red
5087,Blue
4435,Blue
1306,Red
4031,Red
3118,Blue
2931,Red
731,Red
3946,Red
3894,Blue
955,Red
2964,Blue
4005,Red
1131,Red
5380,Blue
4064,Blue
207,Red
5526,Red
4220,Blue
2142,Blue
5321,Red
6005,Red
4383,Red
3731,Red
3015,Blue
6063,Red
1475,Red
216,Blue
4802,Blue
1559,Red
6065,Red
1218,Red
1510,Blue
1852,Red
6191,Red
5766,Red
5418,Red
5748,Red
1680,Red
5465,Red
1271,Red
4211,Red
5711,Red
4945,Blue
4029,Red
4350,Red
6565,Red
2213,Red
2141,Red
889,Red
4737,Blue
697,Blue
6332,Red
2946,Red
2757,Red
3542,Blue
6582,Red
3372,Red
5560,Red
2401,Blue
3532,Red
795,Blue
3928,Red
2776,Blue
493,Red
6003,Red
6275,Red
996,Red
5199,Red
651,Blue
696,Red
5910,Red
96,Blue
416,Red
294,Red
5300,Red
291,Blue
6675,Red
1182,Red
4994,Blue
2310,Blue
6344,Red
980,Blue
1003,Red
3595,Red
3814,Red
4574,Red
3370,Blue
4785,Red
3830,Red
443,Blue
1528,Red
2049,Red
4946,Red
890,Red
2944,Blue
5551,Red
3651,Blue
3413,Blue
2898,Red
4960,Red
6170,Red
4630,Red
6174,Red
631,Blue
3167,Red
5485,Red
6034,Red
3943,Red
5728,Red
6296,Red
3008,Blue
2744,Blue
4926,Red
6529,Red
3334,Blue
1174,Blue
543,Blue
658,Blue
5351,Red
4507,Red
3790,Blue
5801,Red
1460,Red
2380,Red
3527,Blue
2854,Red
4691,Red
717,Red
5690,Red
5405,Red
2864,Blue
5815,Red
3169,Blue
4432,Red
1926,Red
1444,Blue
3439,Blue
3242,Red
2381,Red
6266,Red
1650,Blue
3176,Red
2815,Red
2637,Blue
3145,Red
6404,Red
1879,Red
2748,Red
2176,Red
5678,Red
3236,Red
4179,Red
1217,Blue
4744,Red
1735,Blue
1339,Red
2236,Red
2097,Blue
433,Blue
6442,Red
2618,Blue
3517,Blue
1782,Blue
5802,Red
5323,Blue
2858,Red
3090,Red
185,Red
5629,Red
3864,Red
2646,Blue
5897,Red
3603,Red
775,Red
3137,Red
5240,Blue
4902,Red
4671,Blue
5787,Red
3403,Red
4504,Blue
282,Blue
6378,Red
54,Blue
510,Blue
1919,Red
4659,Red
4821,Red
1251,Blue
5254,Red
3250,Red
399,Blue
5353,Red
4605,Red
5796,Red
3270,Red
4969,Red
2165,Blue
2593,Blue
6562,Red
5680,Red
6704,Red
2753,Red
4780,Blue
4729,Red
1044,Blue
1669,Blue
2930,Red
3252,Red
5363,Red
732,Blue
6428,Red
6317,Red
1549,Blue
3275,Blue
2603,Red
5535,Red
1112,Red
3666,Blue
1653,Red
4806,Red
1047,Red
2683,Blue
3565,Red
3086,Red
250,Red
747,Red
2402,Blue
4479,Blue
3921,Red
5698,Red
4819,Blue
5221,Blue
505,Red
1035,Blue
2205,Red
1856,Blue
5310,Red
1631,Blue
3283,Blue
6447,Red
6100,Red
652,Red
2219,Blue
5494,Red
5613,Red
5054,Red
4012,Blue
6612,Red
2144,Red
4460,Red
4285,Blue
6511,Red
898,Blue
1494,Red
6540,Red
4147,Red
4975,Red
5988,Red
3911,Blue
936,Blue
1262,Blue
86,Red
4787,Blue
1332,Red
1401,Red
2222,Red
6108,Red
2456,Blue
4848,Blue
3313,Red
2101,Blue
3175,Red
5234,Blue
3654,Red
4103,Red
2326,Blue
3036,Red
2967,Blue
2831,Blue
507,Red
3856,Red
3882,Red
2348,Red
3271,Red
61,Blue
2884,Red
3715,Blue
4606,Red
5784,Red
4833,Red
6547,Red
5012,Blue
5174,Blue
2797,Red
3111,Blue
4814,Red
486,Red
1405,Blue
1889,Blue
2250,Blue
3677,Red
1215,Blue
3876,Red
6015,Red
3417,Red
2681,Blue
3123,Red
4920,Red
4550,Red
4159,Blue
40,Blue
5685,Red
6497,Red
5338,Blue
5413,Blue
956,Red
2181,Red
314,Red
3295,Red
1135,Red
4348,Blue
175,Red
4017,Red
520,Blue
5916,Red
3571,Blue
1335,Blue
3646,Red
328,Red
5885,Red
864,Blue
536,Blue
3573,Blue
6206,Red
3620,Blue
5144,Blue
4894,Red
1359,Red
1885,Red
2139,Blue
3722,Red
2959,Blue
1249,Blue
4932,Blue
4370,Red
3649,Red
3601,Red
799,Red
2986,Blue
4901,Red
1962,Red
3771,Red
5471,Red
2019,Blue
5585,Red
1791,Red
5401,Red
2619,Red
2107,Red
3507,Blue
1555,Red
4380,Red
5692,Red
5755,Red
3099,Blue
6621,Red
4921,Red
3788,Red
306,Blue
2611,Red
2240,Red
3192,Blue
1971,Red
1577,Blue
1246,Red
861,Red
1824,Blue
6629,Red
922,Red
240,Blue
215,Red
6101,Red
1830,Blue
1233,Blue
234,Red
688,Blue
2033,Red
3153,Red
4406,Red
3797,Red
1453,Red
2557,Blue
2312,Red
3289,Blue
271,Blue
1289,Red
2036,Red
1259,Blue
4765,Red
6644,Red
1059,Red
603,Red
6088,Red
1468,Blue
4143,Red
2460,Blue
1103,Blue
564,Blue
815,Red
3904,Blue
3511,Blue
3166,Red
3998,Red
3479,Red
4568,Blue
6213,Red
1033,Red
3801,Red
4963,Red
6351,Red
4892,Blue
5575,Red
4924,Red
1055,Red
2473,Blue
3729,Red
3290,Blue
758,Blue
2975,Blue
2963,Red
3447,Blue
418,Red
3050,Red
5652,Red
2308,Red
3786,Blue
17,Blue
1141,Blue
130,Red
347,Blue
1678,Blue
2842,Red
65,Red
4210,Red
6230,Red
865,Blue
2319,Red
3515,Blue
4351,Red
5920,Red
2261,Blue
1642,Blue
3815,Blue
5077,Red
2659,Blue
1099,Red
5368,Blue
4570,Red
5464,Red
1576,Red
806,Red
2475,Red
5107,Blue
1005,Red
2950,Red
2736,Blue
1297,Red
2021,Blue
3104,Red
2066,Blue
4310,Red
2899,Blue
6313,Red
4414,Blue
2492,Blue
2741,Blue
2908,Red
5243,Red
4109,Blue
3664,Blue
5554,Red
5437,Blue
2099,Red
3051,Blue
752,Blue
611,Blue
2405,Red
6395,Red
5616,Red
6176,Red
165,Red
4964,Blue
2923,Red
2682,Red
2816,Blue
2541,Blue
835,Blue
882,Red
4294,Red
3350,Red
2209,Red
1318,Red
5402,Blue
1613,Red
2046,Red
740,Red
5302,Red
3807,Red
323,Blue
3676,Blue
5407,Red
3772,Red
205,Red
4586,Red
6310,Red
1579,Blue
2455,Red
4866,Blue
5115,Blue
4809,Red
5213,Red
5178,Blue
3294,Red
3001,Red
6071,Red
3641,Red
1364,Blue
2004,Blue
2092,Red
464,Blue
6506,Red
2279,Blue
2424,Red
3248,Blue
5373,Red
1419,Red
6343,Red
5574,Red
6290,Red
4388,Red
5513,Red
1857,Red
2083,Blue
4360,Blue
321,Red
1768,Red
5761,Red
2014,Red
3860,Red
4746,Blue
344,Blue
4782,Red
4651,Red
866,Red
310,Red
2671,Red
2731,Blue
2192,Red
1583,Blue
4436,Red
3244,Red
4537,Red
8,Red
1592,Blue
4661,Blue
1172,Red
2866,Blue
3465,Red
6286,Red
716,Red
5912,Red
1282,Red
3849,Red
2878,Red
6160,Red
5138,Blue
5818,Red
5851,Red
1036,Red
3915,Red
4629,Red
4238,Blue
6126,Red
6599,Red
5687,Red
5882,Red
1688,Red
4117,Red
821,Red
200,Red
490,Blue
994,Red
5654,Red
3000,Red
1513,Blue
4912,Red
744,Red
3652,Blue
1279,Red
1082,Red
6516,Red
6721,Red
5224,Red
1713,Blue
5946,Red
2338,Red
2525,Red
5491,Red
4173,Blue
6478,Red
2656,Red
5883,Red
2200,Red
4235,Red
5750,Red
4632,Blue
1067,Red
5239,Blue
5827,Red
5056,Blue
4118,Red
273,Red
4979,Red
4016,Blue
6196,Red
1803,Blue
3580,Blue
3083,Blue
3040,Red
157,Blue
2161,Red
4434,Red
4405,Red
4813,Red
2571,Red
1443,Blue
383,Red
4288,Red
1411,Blue
6067,Red
2137,Red
4043,Blue
856,Blue
6199,Red
4366,Red
1021,Blue
5926,Red
2023,Blue
802,Blue
4822,Blue
1465,Red
841,Red
4942,Red
4200,Red
2426,Blue
5557,Red
2068,Blue
3158,Blue
5703,Red
4389,Blue
1696,Blue
2061,Red
6039,Red
6462,Red
3133,Red
1293,Red
2383,Red
5460,Red
3896,Blue
2920,Red
3950,Red
1775,Red
844,Red
6038,Red
6295,Red
3182,Blue
4579,Blue
5384,Red
3816,Blue
1635,Blue
4878,Blue
4098,Red
4720,Blue
6622,Red
2091,Red
3371,Blue
6214,Red
1481,Red
4461,Blue
5245,Blue
2979,Blue
6468,Red
2198,Blue
4757,Blue
3092,Red
5767,Red
3552,Red
2170,Red
2522,Red
4412,Red
4530,Red
2016,Red
4807,Red
2090,Blue
3981,Blue
2322,Blue
5069,Blue
2225,Blue
2350,Blue
6544,Red
1533,Red
1295,Blue
907,Red
5843,Red
1655,Red
3540,Blue
2717,Red
1242,Blue
3914,Blue
2658,Red
4582,Red
1177,Red
5211,Red
64,Red
4879,Blue
5140,Red
6399,Red
3338,Blue
2510,Blue
2378,Red
3758,Red
1241,Red
187,Red
4839,Red
1929,Red
1902,Red
873,Red
3352,Red
859,Blue
1780,Red
2123,Red
707,Blue
4450,Red
4974,Blue
2108,Red
1540,Red
5175,Blue
3132,Blue
4776,Blue
2314,Red
3698,Red
648,Red
2076,Red
2528,Red
2502,Blue
875,Red
5082,Red
117,Red
4116,Red
809,Red
6416,Red
597,Red
2173,Blue
1084,Blue
6567,Red
1330,Blue
1960,Red
3940,Red
5216,Red
5091,Red
4207,Red
4555,Red
670,Blue
5797,Red
2189,Blue
3453,Red
2925,Blue
5866,Red
3683,Blue
6451,Red
544,Red
1368,Red
4489,Blue
156,Blue
5987,Red
4004,Blue
108,Blue
5479,Red
2663,Red
4229,Blue
4937,Blue
6457,Red
2599,Blue
1749,Blue
2431,Red
3938,Blue
5859,Red
1193,Red
50,Blue
2863,Blue
3852,Red
6711,Red
1816,Red
5105,Blue
4119,Red
3773,Red
5052,Red
5167,Red
2281,Red
4827,Red
5480,Red
5752,Red
5296,Red
2427,Red
4364,Blue
810,Red
1981,Red
4429,Red
577,Blue
6047,Red
4331,Blue
3458,Red
2186,Red
3680,Blue
3143,Red
5531,Red
855,Blue
4950,Red
69,Blue
5060,Red
1307,Red
3886,Red
5508,Red
6018,Red
3942,Red
5719,Red
6062,Red
3300,Blue
5501,Red
4026,Red
4918,Red
4686,Red
4637,Red
5222,Blue
930,Blue
2994,Red
6477,Red
4448,Red
401,Red
5806,Red
2695,Blue
5191,Red
3796,Red
1456,Red
6305,Red
3627,Red
1140,Red
2178,Blue
6124,Red
3311,Blue
1100,Blue
4604,Blue
2267,Red
635,Blue
375,Red
1497,Red
2893,Blue
105,Red
1187,Red
5659,Red
4462,Red
4385,Blue
1845,Red
1201,Red
2007,Blue
3185,Red
1810,Blue
2926,Red
122,Blue
1972,Red
302,Red
2847,Blue
295,Blue
1556,Blue
3495,Red
2358,Red
128,Red
5759,Red
4558,Red
4344,Blue
5024,Blue
4126,Red
2270,Red
6406,Red
6133,Red
101,Red
4972,Red
201,Blue
513,Blue
4120,Blue
5499,Red
5744,Red
1961,Red
5648,Red
5740,Red
1157,Red
1662,Blue
45,Blue
3785,Blue
3389,Red
2151,Blue
5416,Red
6226,Red
1817,Blue
3828,Blue
610,Red
1692,Red
3304,Blue
5016,Red
2596,Red
2224,Red
6361,Red
3273,Red
4390,Red
2353,Blue
4125,Red
1777,Red
6297,Red
492,Blue
3613,Blue
4473,Blue
6563,Red
3566,Blue
4396,Blue
2084,Blue
2628,Red
565,Red
484,Blue
6119,Red
3690,Red
163,Blue
1952,Red
6715,Red
2412,Red
6608,Red
4992,Red
3924,Red
170,Blue
5188,Blue
5423,Red
3744,Blue
5396,Blue
3280,Red
4484,Red
6279,Red
1040,Red
1064,Blue
2264,Blue
3060,Blue
3224,Red
6186,Red
2711,Blue
4019,Blue
5145,Red
2228,Red
2450,Red
4702,Blue
12,Red
1186,Red
4437,Blue
6287,Red
5149,Blue
598,Red
6634,Red
4113,Blue
3151,Blue
3726,Red
5496,Red
3841,Blue
4300,Blue
1301,Red
4338,Blue
3148,Red
4457,Red
1585,Blue
4163,Red
4152,Red
3743,Blue
1983,Red
6658,Red
5204,Blue
3524,Blue
5820,Red
1474,Blue
3736,Blue
343,Red
2880,Red
6449,Red
2025,Blue
6493,Red
239,Red
497,Blue
6105,Red
1657,Red
6575,Red
5005,Red
2343,Blue
1096,Red
797,Blue
4800,Red
3272,Red
4281,Red
5891,Red
5536,Red
3419,Red
4325,Blue
5537,Red
5837,Red
2403,Red
2038,Blue
1769,Red
1515,Red
4477,Red
5427,Red
4838,Blue
5676,Red
2666,Blue
4496,Red
914,Red
369,Blue
699,Blue
3171,Blue
4616,Blue
5961,Red
6255,Red
1412,Blue
1878,Blue
4049,Red
210,Blue
4750,Blue
1822,Blue
3791,Red
1639,Blue
6443,Red
4680,Red
263,Red
6257,Red
199,Blue
3246,Red
242,Red
5686,Red
1638,Blue
993,Red
3258,Blue
1832,Red
1104,Blue
1337,Red
4024,Red
2385,Red
5408,Red
4842,Red
5863,Red
3918,Red
3733,Red
6288,Red
5739,Red
475,Blue
1987,Red
2295,Blue
4524,Blue
765,Red
3610,Red
109,Red
336,Red
2961,Blue
3875,Blue
1458,Blue
116,Blue
4761,Red
2890,Red
2485,Blue
1990,Blue
307,Red
158,Red
3714,Red
1989,Blue
4513,Red
6381,Red
4546,Blue
4916,Blue
2448,Red
4039,Red
118,Blue
6555,Red
325,Blue
4755,Red
1179,Red
407,Red
224,Blue
2997,Blue
6262,Red
6549,Red
1476,Blue
6300,Red
2734,Red
333,Blue
5621,Red
2317,Red
2320,Blue
6499,Red
1053,Red
4084,Blue
3361,Blue
4519,Red
4032,Blue
5197,Red
6474,Red
5876,Red
976,Red
2705,Blue
590,Red
4647,Red
837,Red
592,Red
3477,Red
4418,Red
2793,Red
3078,Blue
738,Red
4925,Red
1654,Red
3164,Red
427,Blue
4663,Red
2952,Red
5758,Red
1704,Red
6708,Red
3671,Blue
4384,Red
2262,Red
3017,Blue
2752,Blue
1388,Red
1615,Red
2152,Red
933,Blue
4730,Blue
6045,Red
3101,Red
3701,Red
4857,Red
6072,Red
2451,Red
3243,Red
3669,Red
4185,Red
5610,Red
2574,Blue
5635,Red
4023,Blue
6092,Red
5600,Red
1794,Red
1809,Red
3587,Red
4682,Blue
6503,Red
3964,Red
5816,Red
13,Red
6333,Red
3803,Blue
2070,Blue
4308,Red
2805,Red
6411,Red
4209,Red
4089,Blue
713,Blue
1954,Blue
1327,Blue
5371,Blue
5573,Red
5745,Red
1825,Blue
6537,Red
5270,Blue
3131,Red
6646,Red
1671,Blue
3763,Red
709,Blue
3795,Blue
4643,Blue
4467,Blue
4510,Blue
4393,Blue
452,Red
5609,Red
1230,Blue
6620,Red
6663,Red
3014,Red
5430,Red
5556,Red
3865,Blue
4716,Blue
6514,Red
5294,Red
4619,Red
2846,Red
1381,Blue
4973,Blue
1498,Blue
6102,Red
5335,Blue
3420,Red
4532,Red
5118,Blue
6314,Red
1019,Blue
3905,Blue
2809,Red
4725,Blue
1056,Red
4998,Blue
4626,Red
367,Red
3781,Red
6140,Red
1907,Red
5701,Red
5303,Blue
2296,Red
5195,Blue
3221,Red
5484,Red
673,Blue
5315,Blue
780,Red
2369,Blue
1827,Red
1275,Red
3057,Blue
3513,Blue
5735,Red
414,Red
3093,Red
2089,Blue
2260,Blue
739,Blue
2088,Blue
5136,Red
3241,Blue
3474,Blue
5308,Red
2565,Blue
2956,Blue
3218,Red
6702,Red
1757,Red
2034,Red
6401,Red
3632,Blue
6059,Red
5861,Red
6667,Red
5036,Red
2883,Red
3002,Blue
360,Red
3667,Red
1958,Blue
3561,Blue
562,Blue
824,Blue
1223,Blue
5317,Blue
2289,Red
3188,Blue
1222,Red
5205,Red
5973,Red
2215,Blue
3114,Red
1471,Blue
491,Red
3505,Red
6636,Red
5795,Red
3935,Blue
5789,Red
5533,Red
2806,Blue
4189,Red
2812,Red
5730,Red
467,Red
2796,Blue
2069,Blue
4621,Blue
1011,Red
6331,Red
113,Blue
700,Red
5358,Blue
869,Red
5008,Red
6179,Red
4693,Red
6685,Red
3794,Blue
3880,Blue
3471,Red
607,Red
5548,Red
4812,Red
3776,Blue
2206,Red
953,Red
364,Red
2370,Blue
3619,Blue
3412,Blue
2742,Blue
361,Red
515,Blue
3682,Red
5279,Red
3717,Red
5219,Red
5831,Red
2947,Red
2246,Blue
1955,Blue
1478,Red
315,Blue
463,Blue
921,Blue
794,Red
1762,Red
2194,Blue
4194,Red
4349,Blue
6323,Red
191,Red
5534,Red
1666,Blue
964,Red
1489,Red
6329,Red
3482,Red
2641,Red
2538,Red
5493,Red
5377,Red
4740,Blue
4145,Red
3893,Red
1529,Red
5131,Blue
575,Red
3299,Red
2978,Blue
5316,Red
6596,Red
81,Red
2586,Blue
1192,Blue
3900,Red
1168,Blue
3472,Red
4336,Blue
37,Blue
1571,Blue
3804,Red
1683,Blue
5089,Red
5414,Red
5271,Blue
0,Blue
825,Blue
1197,Blue
621,Red
725,Blue
6593,Red
5432,Blue
6435,Red
4421,Red
1098,Red
634,Blue
3745,Red
2639,Blue
1880,Red
461,Blue
265,Blue
3423,Red
585,Red
5900,Red
1618,Blue
6151,Red
6389,Red
2901,Red
3992,Red
3170,Blue
2787,Red
2157,Red
1120,Blue
4123,Blue
3279,Blue
6410,Red
2294,Red
1924,Blue
1936,Blue
1195,Blue
110,Red
6615,Red
3292,Blue
2735,Red
2704,Red
3012,Blue
5907,Red
1843,Red
5647,Red
5466,Red
63,Blue
923,Blue
1799,Blue
6037,Red
326,Blue
6420,Red
4056,Blue
1876,Blue
4673,Red
1091,Red
5155,Blue
2199,Blue
4133,Red
5000,Blue
2461,Red
2467,Blue
3618,Blue
1859,Red
5289,Blue
5039,Blue
4476,Red
4009,Red
1707,Red
3121,Blue
6130,Red
5737,Red
5252,Blue
253,Blue
453,Red
4447,Red
1614,Blue
3307,Blue
2302,Blue
870,Blue
5251,Red
5336,Red
5875,Red
349,Blue
2011,Blue
1073,Blue
1644,Blue
4337,Blue
5967,Red
5830,Red
2794,Blue
4873,Blue
147,Red
542,Blue
1144,Blue
839,Blue
441,Red
2514,Red
3647,Red
4922,Red
2887,Blue
1620,Red
3884,Red
6391,Red
3434,Red
6056,Red
677,Blue
3718,Blue
5193,Red
5571,Red
6517,Red
6469,Red
4274,Blue
1202,Red
340,Blue
814,Red
908,Blue
6057,Red
2445,Red
3898,Red
5343,Red
4685,Blue
1145,Red
4222,Blue
217,Red
4291,Red
678,Red
2762,Blue
3752,Red
1542,Red
5706,Red
1329,Blue
1710,Red
1601,Red
6103,Red
5330,Red
6459,Red
1378,Red
4876,Red
1221,Blue
2337,Red
5258,Blue
3983,Red
2029,Blue
1200,Red
6368,Red
4627,Red
1283,Red
5998,Red
2211,Red
2938,Blue
3974,Red
3617,Blue
6127,Red
5220,Red
3985,Red
2168,Blue
1302,Blue
1270,Red
4386,Blue
5839,Red
390,Blue
5940,Red
6686,Red
2716,Red
4864,Blue
3456,Blue
2230,Red
2870,Red
44,Blue
1366,Blue
1170,Red
942,Red
3142,Blue
6682,Red
4620,Red
298,Red
1166,Blue
3256,Red
2336,Red
6293,Red
3789,Red
1367,Red
3569,Blue
533,Red
2119,Red
4930,Blue
1482,Red
3451,Blue
1588,Red
1700,Blue
2022,Blue
5895,Red
5350,Red
5729,Red
4215,Red
274,Red
1957,Red
1792,Red
4087,Blue
849,Blue
5160,Red
1418,Red
5268,Red
4082,Red
1077,Blue
1303,Red
768,Blue
5567,Red
4836,Red
1146,Red
4987,Blue
2001,Red
3160,Red
6362,Red
2988,Blue
5772,Red
2529,Red
6022,Red
208,Red
1783,Blue
2585,Red
1506,Red
5259,Red
1992,Blue
3887,Blue
1932,Blue
