,Winner
6247,Red
1276,Red
1949,Red
1716,Red
5994,Red
3094,Red
1392,Red
6465,Red
3832,Red
1429,Red
1606,Red
6372,Red
6241,Red
6600,Red
5577,Red
5847,Red
1006,Blue
5848,Red
6535,Red
1564,Red
221,Blue
6611,Red
4553,Red
6436,Red
3753,Blue
2430,Blue
1534,Red
3445,Red
52,Red
950,Blue
3187,Blue
1319,Red
4731,Red
2067,Blue
2242,Red
4641,Red
1066,Red
2933,Red
3823,Blue
2970,Red
6029,Red
5658,Red
1257,Blue
6460,Red
2624,Red
3728,Red
1080,Blue
2439,Red
2494,Red
2488,Blue
2072,Red
3592,Blue
1023,Red
4307,Blue
4880,Blue
6061,Red
1732,Red
722,Red
4548,Red
6282,Red
465,Red
6212,Red
6334,Red
3746,Red
549,Blue
14,Red
2708,Blue
600,Red
246,Blue
1028,Red
4378,Red
5467,Red
3512,Red
5102,Blue
5856,Red
3025,Red
4255,Red
659,Red
3547,Blue
5085,Red
3922,Red
760,Blue
1897,Red
6081,Red
3201,Red
3054,Blue
625,Red
354,Blue
3452,Blue
5928,Red
5411,Blue
1770,Blue
4376,Blue
55,Red
1753,Blue
4517,Blue
5668,Red
1486,Red
3520,Blue
778,Red
1703,Red
3687,Blue
462,Red
469,Blue
2772,Red
2349,Red
624,Blue
432,Red
5582,Red
1278,Red
5538,Red
1670,Blue
2845,Red
4982,Red
2396,Red
1862,Red
894,Blue
613,Red
3628,Blue
2457,Red
2316,Red
3381,Red
4140,Red
2604,Blue
2643,Red
264,Blue
6083,Red
1721,Blue
6315,Red
4711,Blue
5238,Red
991,Blue
4638,Red
968,Red
6149,Red
1069,Red
2048,Blue
2463,Blue
4961,Red
4157,Red
6086,Red
5918,Red
3103,Blue
2886,Blue
4025,Blue
4580,Red
5677,Red
4078,Red
1699,Blue
2555,Blue
4723,Red
1171,Blue
4547,Red
5341,Red
1587,Red
6182,Red
2833,Red
3778,Red
1774,Red
937,Red
4863,Blue
3046,Blue
30,Red
847,Red
6324,Red
6245,Red
932,Blue
3339,Red
2924,Blue
6697,Red
1846,Blue
5901,Red
3257,Blue
3215,Red
4342,Blue
4382,Red
5135,Blue
2729,Red
3844,Red
5962,Red
397,Blue
822,Red
2087,Blue
656,Blue
5274,Blue
3555,Red
1350,Blue
896,Red
5684,Red
4282,Red
1473,Blue
4639,Red
6035,Red
3064,Red
3360,Red
4704,Blue
473,Red
771,Blue
6643,Red
339,Blue
958,Red
3805,Blue
5846,Red
6204,Red
5295,Blue
4290,Red
4297,Red
4657,Red
1711,Red
1058,Red
2010,Red
2438,Blue
4327,Blue
6058,Red
4986,Red
6556,Red
3755,Red
3810,Red
1901,Red
3975,Red
4443,Red
2630,Blue
5579,Red
5943,Red
4408,Blue
5674,Red
2851,Blue
1300,Red
1106,Red
4980,Blue
5372,Blue
4594,Blue
3932,Red
2418,Blue
3586,Blue
3509,Blue
2872,Blue
4564,Blue
4254,Blue
5945,Red
3141,Red
3325,Red
2554,Red
5170,Blue
599,Blue
2524,Red
6698,Red
6225,Red
5862,Red
3178,Red
5277,Red
4059,Red
1617,Red
5957,Red
1738,Red
5792,Red
6135,Red
1586,Red
3822,Red
181,Blue
3874,Blue
3926,Blue
5362,Red
4262,Blue
2059,Blue
3122,Blue
494,Blue
1805,Blue
5661,Red
1446,Blue
4577,Blue
1977,Red
2332,Blue
712,Red
4392,Red
5128,Red
3003,Red
5514,Red
4454,Red
2621,Red
6518,Red
3541,Red
743,Red
527,Blue
1263,Red
1247,Red
4670,Red
6234,Red
5734,Red
1923,Red
3895,Red
1963,Red
5398,Blue
4919,Red
4264,Red
2126,Red
616,Blue
3363,Blue
6427,Red
5088,Red
3009,Red
4278,Red
1764,Red
5708,Red
2852,Blue
21,Blue
6084,Red
6683,Red
1287,Blue
1999,Blue
3638,Red
3643,Red
5237,Blue
193,Blue
5889,Red
3416,Red
4438,Red
640,Red
5342,Red
5166,Red
5227,Red
1161,Blue
6559,Red
5080,Blue
4419,Red
6052,Red
4831,Red
5020,Blue
588,Blue
4748,Blue
6020,Red
3611,Red
6597,Red
5026,Blue
2723,Red
4595,Blue
6110,Red
5722,Red
3820,Blue
3606,Blue
5733,Red
1522,Red
3863,Red
3028,Blue
2620,Blue
1010,Blue
4478,Red
4108,Blue
6283,Red
702,Blue
4223,Red
4302,Blue
5911,Red
4415,Blue
2272,Blue
5422,Red
4395,Blue
6153,Red
547,Red
832,Red
1224,Red
5386,Blue
6390,Red
4984,Blue
4944,Blue
6251,Red
4623,Red
967,Blue
5951,Red
4509,Red
4881,Red
6680,Red
5076,Red
1130,Blue
2999,Red
1514,Red
4675,Blue
5142,Blue
3709,Red
4158,Blue
5276,Red
2670,Red
303,Red
5119,Red
727,Blue
4453,Blue
5134,Red
3110,Blue
252,Red
3480,Red
2355,Blue
2328,Blue
4195,Red
4199,Blue
324,Red
356,Blue
6541,Red
4766,Red
2472,Red
2203,Red
2590,Red
4324,Red
3597,Red
4875,Red
1608,Red
4500,Blue
1677,Blue
1595,Blue
2544,Blue
2745,Red
4796,Red
2693,Red
6581,Red
2508,Red
6520,Red
872,Blue
148,Red
2286,Red
3336,Red
6158,Red
3048,Red
415,Red
4909,Blue
4482,Red
5581,Red
1505,Red
5933,Red
4726,Blue
2208,Red
3927,Red
5605,Red
4074,Blue
3345,Red
5829,Red
4706,Red
5333,Blue
4146,Blue
719,Blue
2376,Red
2071,Blue
70,Blue
4316,Red
2495,Red
1348,Blue
2690,Red
3281,Red
1410,Red
6183,Red
4929,Blue
3708,Red
4000,Blue
2333,Red
5540,Red
6601,Red
2359,Blue
2277,Blue
4692,Red
359,Blue
2210,Blue
4483,Red
2610,Blue
5050,Blue
2813,Red
131,Blue
4322,Red
1812,Blue
1133,Blue
1341,Blue
2749,Blue
4615,Red
4495,Red
5725,Red
5824,Red
827,Red
4722,Blue
943,Blue
4846,Red
6382,Red
614,Red
4840,Red
322,Red
642,Blue
3491,Blue
3535,Red
1660,Blue
5743,Red
2226,Red
4596,Blue
5146,Red
3159,Red
6090,Red
124,Blue
1563,Blue
5045,Red
4832,Blue
3779,Blue
3455,Blue
2546,Red
807,Red
3735,Blue
3411,Blue
1009,Red
4567,Red
4681,Blue
5516,Red
5424,Red
6236,Red
655,Blue
3041,Red
3274,Red
3369,Red
628,Blue
1967,Blue
4792,Red
4374,Blue
5747,Red
1527,Red
2031,Blue
5673,Red
4890,Blue
1781,Red
2127,Red
4243,Blue
6201,Red
2841,Red
1646,Blue
5699,Red
5095,Red
6500,Red
5031,Red
3428,Red
5679,Red
5273,Red
2542,Blue
2429,Red
2647,Red
4525,Blue
3656,Blue
6269,Red
5923,Red
4368,Blue
541,Red
4426,Blue
126,Red
6481,Red
5037,Blue
2799,Blue
5641,Red
4738,Red
350,Blue
601,Blue
398,Red
5932,Red
5878,Red
59,Blue
560,Red
2553,Red
995,Red
3843,Red
871,Red
3689,Blue
1944,Blue
1597,Blue
3578,Blue
1286,Red
3476,Blue
4610,Blue
3287,Blue
843,Blue
2881,Red
6367,Red
378,Red
5127,Blue
1500,Red
2781,Red
1026,Blue
789,Red
168,Red
2054,Red
3996,Red
5700,Red
3550,Red
6227,Red
3384,Red
5339,Blue
6552,Red
2140,Red
5580,Red
3267,Red
5084,Red
2804,Red
1485,Red
3406,Red
1269,Red
5813,Red
748,Blue
1072,Blue
2613,Blue
4431,Red
98,Red
629,Red
3152,Red
5073,Blue
5284,Blue
2184,Blue
4275,Blue
2622,Red
434,Blue
481,Red
2993,Red
5458,Red
5241,Red
3211,Red
5235,Blue
4474,Red
3109,Red
2909,Red
2868,Red
1567,Red
1158,Red
3424,Red
3941,Blue
23,Red
6522,Red
691,Red
3228,Red
36,Red
3990,Red
2905,Red
2954,Red
2818,Red
4486,Blue
998,Blue
3174,Red
2311,Red
4174,Red
3584,Red
6488,Red
808,Blue
3341,Blue
6143,Red
2657,Red
6538,Red
3402,Blue
6175,Red
2297,Blue
2974,Red
4379,Red
1449,Red
3319,Blue
1461,Blue
2000,Red
3310,Red
3446,Blue
2727,Blue
4299,Blue
5262,Red
3038,Red
4931,Red
4398,Blue
1819,Red
3227,Blue
521,Blue
1521,Blue
6087,Red
1248,Red
1578,Red
2392,Blue
4041,Red
6377,Red
5015,Blue
767,Blue
2718,Red
3124,Red
3956,Blue
2041,Blue
6136,Red
6548,Red
1321,Red
2987,Red
5263,Blue
6456,Red
4330,Red
2871,Blue
204,Red
6619,Red
417,Red
5890,Red
2437,Red
584,Blue
2374,Red
5751,Red
6440,Red
6515,Red
643,Blue
3441,Red
3399,Red
4237,Red
4139,Blue
2400,Blue
4654,Red
4221,Red
2761,Blue
4585,Red
5044,Blue
335,Red
2179,Blue
32,Red
5607,Red
6438,Red
6508,Red
4777,Red
5189,Red
5018,Red
409,Blue
4165,Blue
545,Red
6609,Red
212,Blue
581,Red
5171,Blue
5173,Red
3255,Blue
2028,Blue
3013,Red
4935,Red
1432,Red
2013,Blue
2415,Red
4694,Red
518,Red
3018,Blue
5096,Red
3414,Red
1423,Blue
3848,Red
3254,Red
4653,Red
4363,Blue
47,Red
4080,Red
1417,Blue
2539,Red
1940,Red
1455,Blue
2819,Red
2414,Red
5459,Red
6157,Red
4542,Red
1415,Blue
982,Red
2397,Red
1151,Red
2293,Red
1622,Blue
3212,Blue
4614,Red
1904,Blue
1685,Red
6169,Red
3037,Blue
2064,Blue
5492,Red
2569,Blue
858,Red
107,Blue
649,Blue
4569,Blue
213,Red
3358,Red
6400,Red
586,Red
4253,Blue
2055,Blue
4589,Blue
4232,Red
4952,Red
1868,Red
1508,Red
5184,Red
5697,Red
6364,Red
912,Red
258,Red
5194,Red
3640,Red
5637,Red
6051,Red
2982,Blue
2548,Blue
1875,Blue
